Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,City,State,Region,Category,Sub_Category,Product,Quantity,Unit_Price,Discount,Payment_Mode,Sales,Cost,Profit
ORD125752,2025-07-30,CUST12670,Neha Jadhav,Female,21.0,Surat,Gujarat,West,Electronics,Laptops,HP 15s Laptop,4,54999,0.05,Debit Card,208996.2,172000,36996.2
ORD111270,2024-07-26,CUST13352,Rahul Gawande,Female,36.0,Mysuru,Karnataka,South,Electronics,Accessories,USB-C Hub,1,1899,0.15,UPI,1614.15,1050,564.15
ORD106248,2024-12-22,CUST15260,Rahul Verma,Female,46.0,Patna,Bihar,East,Sports,Fitness,Yoga Mat,1,899,0.05,Debit Card,854.05,420,434.05
ORD128150,2024-01-16,CUST15741,Diya Iyer,Female,39.0,Chennai,Tamil Nadu,South,Clothing,Men,Jeans,1,1999,0.0,Wallet,1999.0,1050,949.0
ORD101339,2025-04-23,CUST12323,Aarav Deshmukh,Male,33.0,Aurangabad,Maharashtra,West,Electronics,Mobiles,Samsung Galaxy A15,4,17999,0.2,Debit Card,57596.8,50000,7596.8
ORD129482,2024-03-01,CUST16411,Nikhil Sharma,Male,40.0,Kochi,Kerala,South,Home & Kitchen,Kitchen,Mixer Grinder,1,3499,0.05,UPI,3324.05,2200,1124.05
ORD115716,2024-12-03,CUST13079,Akash Shah,Female,18.0,Pune,Maharashtra,West,Electronics,Accessories,Wireless Mouse,1,799,0.05,Cash,759.05,420,339.05
ORD113687,2024-09-13,CUST14844,Vikram Deshmukh,Female,54.0,Delhi,Delhi,North,Electronics,Laptops,HP 15s Laptop,1,54999,0.2,Credit Card,43999.2,43000,999.2
ORD108769,2025-08-13,CUST15218,Sneha Sharma,Female,25.0,Chennai,Tamil Nadu,South,Grocery,Staples,Wheat Flour 5kg,5,299,0.0,UPI,1495.0,1100,395.0
ORD124073,2025-05-26,CUST13147,Aarav Iyer,Male,30.0,Nagpur,Maharashtra,West,Home & Kitchen,Kitchen,Electric Kettle,1,1499,0.0,UPI,1499.0,850,649.0
ORD118479,2025-06-11,CUST12242,Raj Patil,Male,25.0,Amravati,Maharashtra,West,Clothing,Men,Jeans,1,1999,0.1,UPI,1799.1,1050,749.1
ORD112261,2025-06-20,CUST12043,Rahul Shah,Female,63.0,Delhi,Delhi,North,Home & Kitchen,Kitchen,Air Fryer,1,6999,0.15,Cash,5949.15,4650,1299.15
ORD127858,2025-12-21,CUST12094,Isha Gupta,Male,50.0,Aurangabad,Maharashtra,West,Clothing,Men,Jeans,5,1999,0.0,Debit Card,9995.0,5250,4745.0
ORD127542,2025-09-09,CUST13626,Kavya Mehta,Female,38.0,Amravati,Maharashtra,West,Clothing,Women,Saree,5,2499,0.1,Net Banking,11245.5,6500,4745.5
ORD103931,2024-10-14,CUST15438,Priya Gupta,Male,37.0,Nagpur,Maharashtra,West,Clothing,Men,Jeans,1,1999,0.1,Wallet,1799.1,1050,749.1
ORD111682,2025-02-15,CUST12493,Arjun Patil,Male,30.0,Aurangabad,Maharashtra,West,Grocery,Staples,Basmati Rice 5kg,1,699,0.1,Debit Card,629.1,520,109.1
ORD108345,2024-12-12,CUST10370,Yash Mishra,Male,18.0,Ahmedabad,Gujarat,West,Home & Kitchen,Kitchen,Electric Kettle,3,1499,0.0,UPI,4497.0,2550,1947.0
ORD109626,2024-09-27,CUST10067,Akash Mehta,Male,29.0,Chennai,Tamil Nadu,South,Home & Kitchen,Appliances,LED TV 43 inch,2,32999,0.1,UPI,59398.2,51000,8398.2
ORD115655,2024-04-13,CUST15476,Aditya Gawande,Female,37.0,Patna,Bihar,East,Electronics,Accessories,USB-C Hub,5,1899,0.0,UPI,9495.0,5250,4245.0
ORD118317,2025-01-15,CUST12896,Yash Patil,Male,41.0,Amravati,Maharashtra,West,Beauty,Skincare,Moisturizer,1,699,0.2,UPI,559.2,320,239.2
ORD129092,2025-05-23,CUST14693,Nikhil Iyer,Male,34.0,Mysuru,Karnataka,South,Beauty,Skincare,Moisturizer,2,699,0.1,Wallet,1258.2,640,618.2
ORD128040,2025-01-21,CUST16203,Karan Mehta,Male,18.0,Mumbai,Maharashtra,West,Beauty,Hair Care,Hair Dryer,2,1899,0.0,Cash,3798.0,2100,1698.0
ORD118393,2025-10-18,CUST16349,Rahul Jadhav,Male,18.0,Jaipur,Rajasthan,North,Grocery,Snacks,Dry Fruits 500g,4,799,0.25,Net Banking,2397.0,2080,317.0
ORD122411,2024-02-01,CUST14618,Priya Kulkarni,Female,44.0,Mumbai,Maharashtra,West,Home & Kitchen,Appliances,Ceiling Fan,1,2899,0.05,UPI,2754.05,1850,904.05
ORD121328,2024-05-25,CUST13461,Isha Jadhav,Female,29.0,Mumbai,Maharashtra,West,Sports,Fitness,Yoga Mat,2,899,0.1,UPI,1618.2,840,778.2
ORD107751,2024-12-09,CUST13156,Priya Kumar,Male,9.0,Pune ,Delhi,North,Sports,Fitness,Dumbbell Set,5,2499,0.0,UPI,12495.0,7250,5245.0
ORD124912,2024-05-20,CUST16148,Yash Kumar,Male,48.0,Bhubaneswar,Odisha,East,Electronics,Mobiles,OnePlus Nord CE,1,24999,0.1,Debit Card,22499.1,17800,4699.1
ORD127715,2025-02-09,CUST15858,Tanvi Kulkarni,Male,23.0,Pune,Maharashtra,West,Grocery,Beverages,Coffee 500g,1,499,0.05,Credit Card,474.05,290,184.05
ORD119180,2024-01-29,CUST16311,Simran Verma,Male,18.0,Chennai,Tamil Nadu,South,Beauty,Skincare,Face Wash,1,399,0.0,Debit Card,399.0,180,219.0
ORD110324,2024-04-25,CUST14964,Riya Gupta,Male,18.0,Kochi,Kerala,South,Electronics,Mobiles,OnePlus Nord CE,1,24999,0.05,UPI,23749.05,17800,5949.05
ORD108355,2025-12-19,CUST14399,Kavya Verma,Female,48.0,Bhubaneswar,Odisha,East,Sports,Fitness,Yoga Mat,2,899,0.1,Debit Card,1618.2,840,778.2
ORD129128,2025-11-29,CUST10177,Karan Deshmukh,Male,43.0,Amravati,Maharashtra,West,Grocery,Staples,Wheat Flour 5kg,1,299,0.1,UPI,269.1,220,49.1
